Date,Open,High,Low,Close,Adj Close,Volume
2023-01-19,5.560000,5.630000,5.140000,5.180000,5.180000,3206800
2023-01-20,5.280000,5.380000,5.100000,5.320000,5.320000,2366100
2023-01-23,5.310000,6.330000,5.310000,6.240000,6.240000,5352200
2023-01-24,6.090000,6.260000,5.820000,6.130000,6.130000,2664000
2023-01-25,5.910000,6.200000,5.730000,5.970000,5.970000,2433600
2023-01-26,6.110000,6.290000,5.700000,5.950000,5.950000,3280100
2023-01-27,5.950000,6.665000,5.720000,6.270000,6.270000,4961800
2023-01-30,6.180000,6.250000,5.910000,6.220000,6.220000,2186400
2023-01-31,6.180000,6.890000,6.180000,6.890000,6.890000,3172400
2023-02-01,6.840000,7.050000,6.445000,6.930000,6.930000,3658200
2023-02-02,7.215000,7.660000,6.830000,6.910000,6.910000,5631300
2023-02-03,6.650000,7.140000,6.600000,6.700000,6.700000,2615700
2023-02-06,6.610000,6.835000,6.220000,6.230000,6.230000,2739500
2023-02-07,6.180000,6.595000,6.055000,6.530000,6.530000,3241800
2023-02-08,6.500000,6.690000,6.360000,6.520000,6.520000,1859000
2023-02-09,6.650000,6.710000,6.400000,6.520000,6.520000,1635100
2023-02-10,6.400000,6.465000,6.040000,6.320000,6.320000,2169400
2023-02-13,6.280000,6.316000,6.130000,6.210000,6.210000,1024600
2023-02-14,6.070000,6.350000,5.880000,6.300000,6.300000,1438200
2023-02-15,6.330000,6.915000,6.320000,6.840000,6.840000,2745200
2023-02-16,6.650000,6.990000,6.468000,6.470000,6.470000,2413200
2023-02-17,6.400000,6.600000,6.309000,6.520000,6.520000,1159100
2023-02-21,6.460000,6.460000,6.060000,6.100000,6.100000,1612900
2023-02-22,6.100000,6.370000,6.100000,6.290000,6.290000,1242600
2023-02-23,6.350000,6.370000,6.110000,6.260000,6.260000,996800
2023-02-24,6.040000,6.220000,5.750000,5.830000,5.830000,1765600
2023-02-27,5.890000,6.000000,5.829000,5.970000,5.970000,1163800
2023-02-28,5.970000,6.240000,5.880000,5.930000,5.930000,1364600
2023-03-01,6.040000,6.225000,5.815000,5.840000,5.840000,1452400
2023-03-02,5.720000,5.980000,5.630000,5.980000,5.980000,1470400
2023-03-03,5.980000,6.380000,5.945000,6.370000,6.370000,1900200
2023-03-06,6.390000,6.580000,6.200000,6.320000,6.320000,1217300
2023-03-07,6.290000,6.567000,6.170000,6.290000,6.290000,1132200
2023-03-08,6.370000,6.370000,6.070000,6.180000,6.180000,1008800
2023-03-09,6.130000,6.350000,5.850000,5.870000,5.870000,1468600
2023-03-10,5.820000,6.050000,5.680000,5.950000,5.950000,1398500
2023-03-13,5.770000,5.992000,5.680000,5.800000,5.800000,1637000
2023-03-14,5.930000,6.110000,5.720000,5.830000,5.830000,1154100
2023-03-15,5.680000,5.745000,5.230000,5.300000,5.300000,1851800
2023-03-16,5.250000,5.675000,5.235000,5.670000,5.670000,1142100
2023-03-17,5.640000,5.730000,5.410000,5.500000,5.500000,1295000
2023-03-20,5.500000,5.620000,5.170000,5.240000,5.240000,1247600
2023-03-21,5.330000,5.680000,5.330000,5.650000,5.650000,1036700
2023-03-22,5.650000,6.080000,5.550000,5.710000,5.710000,1789900
2023-03-23,5.770000,5.890000,5.560000,5.590000,5.590000,1039900
2023-03-24,5.510000,5.555000,5.310000,5.500000,5.500000,846100
2023-03-27,5.690000,5.750000,5.380000,5.670000,5.670000,936800
2023-03-28,5.600000,5.680000,5.467000,5.570000,5.570000,684000
2023-03-29,5.630000,5.770000,5.400000,5.750000,5.750000,1407200
2023-03-30,6.550000,7.480000,6.500000,7.020000,7.020000,18798700
2023-03-31,7.120000,8.160000,6.971000,7.790000,7.790000,8798900
2023-04-03,7.890000,7.900000,7.070000,7.200000,7.200000,3682700
2023-04-04,7.470000,7.720000,7.145000,7.165000,7.165000,2911600
2023-04-05,7.200000,7.200000,6.440000,6.490000,6.490000,2611100
2023-04-06,6.440000,6.670000,6.199000,6.515000,6.515000,1903600
2023-04-10,6.520000,6.620000,6.420000,6.570000,6.570000,1504500
2023-04-11,6.620000,6.690000,6.420000,6.590000,6.590000,1342700
2023-04-12,6.700000,6.770000,6.240000,6.260000,6.260000,1841600
2023-04-13,6.280000,6.401000,6.220000,6.240000,6.240000,1066900
2023-04-14,6.250000,6.365000,6.020000,6.160000,6.160000,1214000
2023-04-17,6.130000,6.380000,6.130000,6.240000,6.240000,1284100
2023-04-18,6.290000,6.300000,6.060000,6.220000,6.220000,1194600
2023-04-19,6.160000,6.425000,6.040000,6.280000,6.280000,1324800
2023-04-20,6.110000,6.335000,6.010000,6.070000,6.070000,1247000
2023-04-21,6.055000,6.270000,6.000000,6.210000,6.210000,1101500
2023-04-24,6.250000,6.250000,6.010000,6.060000,6.060000,1041900
2023-04-25,6.020000,6.020000,5.760000,5.770000,5.770000,1243600
2023-04-26,5.810000,5.960000,5.724000,5.920000,5.920000,1061000
2023-04-27,6.000000,6.116000,5.925000,6.090000,6.090000,1028100
2023-04-28,6.000000,6.140000,5.960000,5.990000,5.990000,956400
2023-05-01,5.990000,5.995000,5.670000,5.680000,5.680000,1496900
